ISO.3,species,bias_score_1990,prevalence_score_1990,bias_score_2023,prevalence_score_2023
ASM,Enterococcus_faecium,4,1,3,3
ASM,Staphylococcus_aureus,4,2,4,3
ASM,Klebsiella_pneumoniae,4,2,3,3
ASM,Acinetobacter_baumannii,4,2,4,4
ASM,Pseudomonas_aeruginosa,4,2,4,4
ASM,Enterobacter_cloacae,4,2,4,4
ASM,Neisseria_meningitidis,2,1,1,1
ASM,Listeria_monocytogenes,2,1,1,1
ASM,Corynebacterium_diphtheriae,2,1,1,1
ASM,Bacillus_cereus,2,1,1,1
ASM,Vibrio_cholerae,1,1,1,1
ASM,Neisseria_gonorrhoeae,3,2,2,2
ASM,Treponema_pallidum,2,1,1,1
ASM,Streptococcus_pneumoniae,2,2,1,1
ASM,Leptospira_interrogans,2,1,1,1
ASM,Helicobacter_pylori,2,1,1,1
ASM,Escherichia_coli,4,2,3,3
ASM,Chlamydia_trachomatis,2,1,1,1
ASM,Burkholderia_contaminans,2,2,1,2
ASM,Vibrio_parahaemolyticus,2,2,1,3
ASM,Streptococcus_agalactiae,2,1,1,1
ASM,Streptococcus_suis,2,1,1,1
ASM,Mycobacterium_abscessus,2,1,1,1
ASM,Mycobacterium_massiliense,2,1,1,1
ASM,Mammalicoccus_sciuri,2,1,1,1
ASM,Klebsiella_variicola,4,2,3,3
ASM,Haemophilus_influenzae,2,1,1,1
ASM,Haemophilus_haemolyticus,2,1,1,1
ASM,Haemophilus_parainfluenzae,2,1,1,1
ASM,Enterococcus_faecalis,4,2,3,3
ASM,Dichelobacter_nodosus,2,1,1,1
ASM,Cronobacter_malonaticus,2,2,1,2
ASM,Cronobacter_sakazakii,2,2,1,2
ASM,Clostridium_perfringens,2,2,1,2
ASM,Campylobacter_jejuni,2,2,1,2
ASM,Campylobacter_coli,2,2,1,2
ASM,Burkholderia_pseudomallei,2,2,1,2
ASM,Burkholderia_ambifaria,2,2,1,2
ASM,Burkholderia_cenocepacia,2,2,1,2
ASM,Burkholderia_cepacia,2,2,1,2
ASM,Burkholderia_multivorans,2,2,1,2
ASM,Burkholderia_ubonensis,2,2,1,2
ASM,Bordetella_parapertussis,2,1,1,1
ASM,Acinetobacter_nosocomialis,4,2,4,4
ASM,Acinetobacter_pittii,4,2,4,4
ASM,Listeria_innocua,2,1,1,1
ASM,Cronobacter_turicensis,2,2,1,2
ASM,Clostridium_chauvoei,2,1,1,1
ASM,Borrelia_bavariensis,2,1,1,1
ASM,Salmonella_enterica,3,2,2,2
ASM,Yersinia_enterocolitica,2,2,1,3
ASM,Neisseria_lactamica,2,1,1,1
ASM,Leptospira_borgpetersenii,2,1,1,1
ASM,Burkholderia_vietnamiensis,2,2,1,2
ASM,Streptococcus_uberis,2,1,1,1
ASM,Cronobacter_dublinensis,2,2,1,2
ASM,Chlamydia_abortus,2,1,1,1
ASM,Bordetella_pertussis,2,1,1,1
ASM,Borrelia_garinii,2,1,1,1
ASM,Neisseria_cinerea,2,1,1,1
ASM,Bordetella_bronchiseptica,2,1,1,1
ASM,Mycobacterium_bovis,2,1,1,1
ASM,Shigella_flexneri,4,2,3,3
ASM,Mycobacterium_tuberculosis,2,2,1,1
AND,Enterococcus_faecium,4,1,3,3
AND,Staphylococcus_aureus,4,2,4,3
AND,Klebsiella_pneumoniae,4,2,3,3
AND,Acinetobacter_baumannii,4,2,4,4
AND,Pseudomonas_aeruginosa,4,2,4,4
AND,Enterobacter_cloacae,4,2,4,4
AND,Neisseria_meningitidis,3,1,1,1
AND,Listeria_monocytogenes,3,1,1,1
AND,Corynebacterium_diphtheriae,3,1,1,1
AND,Bacillus_cereus,3,1,1,1
AND,Vibrio_cholerae,1,1,1,1
AND,Neisseria_gonorrhoeae,3,2,2,2
AND,Treponema_pallidum,3,1,1,1
AND,Streptococcus_pneumoniae,2,2,1,1
AND,Leptospira_interrogans,3,1,1,1
AND,Helicobacter_pylori,3,1,1,1
AND,Escherichia_coli,4,2,3,3
AND,Chlamydia_trachomatis,3,1,1,1
AND,Burkholderia_contaminans,3,2,1,2
AND,Vibrio_parahaemolyticus,3,2,1,3
AND,Streptococcus_agalactiae,3,1,1,1
AND,Streptococcus_suis,3,1,1,1
AND,Mycobacterium_abscessus,3,1,1,1
AND,Mycobacterium_massiliense,3,1,1,1
AND,Mammalicoccus_sciuri,3,1,1,1
AND,Klebsiella_variicola,4,2,3,3
AND,Haemophilus_influenzae,3,1,1,1
AND,Haemophilus_haemolyticus,3,1,1,1
AND,Haemophilus_parainfluenzae,3,1,1,1
AND,Enterococcus_faecalis,4,2,3,3
AND,Dichelobacter_nodosus,3,1,1,1
AND,Cronobacter_malonaticus,3,2,1,2
AND,Cronobacter_sakazakii,3,2,1,2
AND,Clostridium_perfringens,3,2,1,2
AND,Campylobacter_jejuni,3,2,1,2
AND,Campylobacter_coli,3,2,1,2
AND,Burkholderia_pseudomallei,3,2,1,2
AND,Burkholderia_ambifaria,3,2,1,2
AND,Burkholderia_cenocepacia,3,2,1,2
AND,Burkholderia_cepacia,3,2,1,2
AND,Burkholderia_multivorans,3,2,1,2
AND,Burkholderia_ubonensis,3,2,1,2
AND,Bordetella_parapertussis,3,1,1,1
AND,Acinetobacter_nosocomialis,4,2,4,4
AND,Acinetobacter_pittii,4,2,4,4
AND,Listeria_innocua,3,1,1,1
AND,Cronobacter_turicensis,3,2,1,2
AND,Clostridium_chauvoei,3,1,1,1
AND,Borrelia_bavariensis,3,1,1,1
AND,Salmonella_enterica,3,2,2,2
AND,Yersinia_enterocolitica,3,2,1,3
AND,Neisseria_lactamica,3,1,1,1
AND,Leptospira_borgpetersenii,3,1,1,1
AND,Burkholderia_vietnamiensis,3,2,1,2
AND,Streptococcus_uberis,3,1,1,1
AND,Cronobacter_dublinensis,3,2,1,2
AND,Chlamydia_abortus,3,1,1,1
AND,Bordetella_pertussis,3,1,1,1
AND,Borrelia_garinii,3,1,1,1
AND,Neisseria_cinerea,3,1,1,1
AND,Bordetella_bronchiseptica,3,1,1,1
AND,Mycobacterium_bovis,3,1,1,1
AND,Shigella_flexneri,4,2,3,3
AND,Mycobacterium_tuberculosis,2,2,1,1
ATG,Enterococcus_faecium,4,1,3,3
ATG,Staphylococcus_aureus,4,2,4,3
ATG,Klebsiella_pneumoniae,4,2,3,3
ATG,Acinetobacter_baumannii,4,2,4,4
ATG,Pseudomonas_aeruginosa,4,2,4,4
ATG,Enterobacter_cloacae,4,2,4,4
ATG,Neisseria_meningitidis,2,1,1,1
ATG,Listeria_monocytogenes,2,1,1,1
ATG,Corynebacterium_diphtheriae,2,1,1,1
ATG,Bacillus_cereus,2,1,1,1
ATG,Vibrio_cholerae,1,1,1,1
ATG,Neisseria_gonorrhoeae,3,2,2,2
ATG,Treponema_pallidum,2,1,1,1
ATG,Streptococcus_pneumoniae,2,2,1,1
ATG,Leptospira_interrogans,2,1,1,1
ATG,Helicobacter_pylori,2,1,1,1
ATG,Escherichia_coli,4,2,3,3
ATG,Chlamydia_trachomatis,2,1,1,1
ATG,Burkholderia_contaminans,2,2,1,2
ATG,Vibrio_parahaemolyticus,2,2,1,3
ATG,Streptococcus_agalactiae,2,1,1,1
ATG,Streptococcus_suis,2,1,1,1
ATG,Mycobacterium_abscessus,2,1,1,1
ATG,Mycobacterium_massiliense,2,1,1,1
ATG,Mammalicoccus_sciuri,2,1,1,1
ATG,Klebsiella_variicola,4,2,3,3
ATG,Haemophilus_influenzae,2,1,1,1
ATG,Haemophilus_haemolyticus,2,1,1,1
ATG,Haemophilus_parainfluenzae,2,1,1,1
ATG,Enterococcus_faecalis,4,2,3,3
ATG,Dichelobacter_nodosus,2,1,1,1
ATG,Cronobacter_malonaticus,2,2,1,2
ATG,Cronobacter_sakazakii,2,2,1,2
ATG,Clostridium_perfringens,2,2,1,2
ATG,Campylobacter_jejuni,2,2,1,2
ATG,Campylobacter_coli,2,2,1,2
ATG,Burkholderia_pseudomallei,2,2,1,2
ATG,Burkholderia_ambifaria,2,2,1,2
ATG,Burkholderia_cenocepacia,2,2,1,2
ATG,Burkholderia_cepacia,2,2,1,2
ATG,Burkholderia_multivorans,2,2,1,2
ATG,Burkholderia_ubonensis,2,2,1,2
ATG,Bordetella_parapertussis,2,1,1,1
ATG,Acinetobacter_nosocomialis,4,2,4,4
ATG,Acinetobacter_pittii,4,2,4,4
ATG,Listeria_innocua,2,1,1,1
ATG,Cronobacter_turicensis,2,2,1,2
ATG,Clostridium_chauvoei,2,1,1,1
ATG,Borrelia_bavariensis,2,1,1,1
ATG,Salmonella_enterica,3,2,2,2
ATG,Yersinia_enterocolitica,2,2,1,3
ATG,Neisseria_lactamica,2,1,1,1
ATG,Leptospira_borgpetersenii,2,1,1,1
ATG,Burkholderia_vietnamiensis,2,2,1,2
ATG,Streptococcus_uberis,2,1,1,1
ATG,Cronobacter_dublinensis,2,2,1,2
