species,gram
Acinetobacter_albensis,Gram-negative
Acinetobacter_baumannii,Gram-negative
Acinetobacter_baylyi,Gram-negative
Acinetobacter_beijerinckii,Gram-negative
Acinetobacter_bereziniae,Gram-negative
Acinetobacter_bohemicus,Gram-negative
Acinetobacter_bouvetii,Gram-negative
Acinetobacter_brisouii,Gram-negative
Acinetobacter_calcoaceticus,Gram-negative
Acinetobacter_celticus,Gram-negative
Acinetobacter_chengduensis,Gram-negative
Acinetobacter_chinensis,Gram-negative
Acinetobacter_colistiniresistens,Gram-negative
Acinetobacter_courvalinii,Gram-negative
Acinetobacter_cumulans,Gram-negative
Acinetobacter_defluvii,Gram-negative
Acinetobacter_dispersus,Gram-negative
Acinetobacter_gandensis,Gram-negative
Acinetobacter_gerneri,Gram-negative
Acinetobacter_guerrae,Gram-negative
Acinetobacter_guillouiae,Gram-negative
Acinetobacter_gyllenbergii,Gram-negative
Acinetobacter_haemolyticus,Gram-negative
Acinetobacter_halotolerans,Gram-negative
Acinetobacter_harbinensis,Gram-negative
Acinetobacter_indicus,Gram-negative
Acinetobacter_johnsonii,Gram-negative
Acinetobacter_junii,Gram-negative
Acinetobacter_kookii,Gram-negative
Acinetobacter_kyonggiensis,Gram-negative
Acinetobacter_lactucae,Gram-negative
Acinetobacter_lanii,Gram-negative
Acinetobacter_larvae,Gram-negative
Acinetobacter_lwoffii,Gram-negative
Acinetobacter_modestus,Gram-negative
Acinetobacter_nosocomialis,Gram-negative
Acinetobacter_oleivorans,Gram-negative
Acinetobacter_piscicola,Gram-negative
Acinetobacter_pittii,Gram-negative
Acinetobacter_populi,Gram-negative
Acinetobacter_portensis,Gram-negative
Acinetobacter_pragensis,Gram-negative
Acinetobacter_proteolyticus,Gram-negative
Acinetobacter_pseudolwoffii,Gram-negative
Acinetobacter_pullicarnis,Gram-negative
Acinetobacter_puyangensis,Gram-negative
Acinetobacter_qingfengensis,Gram-negative
Acinetobacter_radioresistens,Gram-negative
Acinetobacter_rongchengensis,Gram-negative
Acinetobacter_rudis,Gram-negative
Acinetobacter_schindleri,Gram-negative
Acinetobacter_seifertii,Gram-negative
Acinetobacter_shaoyimingii,Gram-negative
Acinetobacter_sichuanensis,Gram-negative
Acinetobacter_soli,Gram-negative
Acinetobacter_stercoris,Gram-negative
Acinetobacter_tandoii,Gram-negative
Acinetobacter_tianfuensis,Gram-negative
Acinetobacter_tjernbergiae,Gram-negative
Acinetobacter_ursingii,Gram-negative
Acinetobacter_variabilis,Gram-negative
Acinetobacter_venetianus,Gram-negative
Acinetobacter_vivianii,Gram-negative
Acinetobacter_wuhouensis,Gram-negative
Bacillus_cereus,Gram-positive
Bordetella_avium,Gram-negative
Bordetella_bronchialis,Gram-negative
Bordetella_bronchiseptica,Gram-negative
Bordetella_flabilis,Gram-negative
Bordetella_hinzii,Gram-negative
Bordetella_holmesii,Gram-negative
Bordetella_muralis,Gram-negative
Bordetella_parapertussis,Gram-negative
Bordetella_pertussis,Gram-negative
Bordetella_petrii,Gram-negative
Bordetella_pseudohinzii,Gram-negative
Bordetella_trematum,Gram-negative
Bordetella_tumbae,Gram-negative
Borrelia_afzelii,Gram-negative
Borrelia_americana,Gram-negative
Borrelia_bavariensis,Gram-negative
Borrelia_bissettiae,Gram-negative
Borrelia_burgdorferi_sensu_stricto,Gram-positive
Borrelia_californiensis,Gram-negative
Borrelia_carolinensis,Gram-negative
Borrelia_garinii,Gram-negative
Borrelia_japonica,Gram-negative
Borrelia_kurtenbachii,Gram-negative
Borrelia_maritima,Gram-negative
Borrelia_mayonii,Gram-negative
Borrelia_spielmanii,Gram-negative
Borrelia_turdi,Gram-negative
Borrelia_valaisiana,Gram-negative
Borrelia_yangtzensis,Gram-negative
Brucella_abortus,Gram-negative
Brucella_canis,Gram-negative
Brucella_ceti,Gram-negative
Brucella_melitensis,Gram-negative
Brucella_sp.,Gram-negative
Brucella_suis,Gram-negative
Burkholderia_aenigmatica,Gram-negative
Burkholderia_ambifaria,Gram-negative
Burkholderia_anthina,Gram-negative
Burkholderia_arboris,Gram-negative
Burkholderia_cenocepacia,Gram-negative
Burkholderia_cepacia,Gram-negative
Burkholderia_contaminans,Gram-negative
Burkholderia_diffusa,Gram-negative
Burkholderia_dolosa,Gram-negative
Burkholderia_gladioli,Gram-negative
Burkholderia_glumae,Gram-negative
Burkholderia_guangdongensis,Gram-negative
Burkholderia_lata,Gram-negative
Burkholderia_latens,Gram-negative
Burkholderia_mayonis,Gram-negative
Burkholderia_metallica,Gram-negative
Burkholderia_multivorans,Gram-negative
Burkholderia_oklahomensis,Gram-negative
Burkholderia_paludis,Gram-negative
Burkholderia_plantarii,Gram-negative
Burkholderia_pseudomallei,Gram-negative
Burkholderia_pseudomultivorans,Gram-negative
Burkholderia_pyrrocinia,Gram-negative
Burkholderia_savannae,Gram-negative
Burkholderia_seminalis,Gram-negative
Burkholderia_stabilis,Gram-negative
Burkholderia_stagnalis,Gram-negative
Burkholderia_ubonensis,Gram-negative
Burkholderia_vietnamiensis,Gram-negative
Ca._Chlamydia_sanzinia,Gram-negative
Caballeronia_concitans,Gram-negative
Caballeronia_cordobensis,Gram-negative
Caballeronia_glathei,Gram-negative
Caballeronia_grimmiae,Gram-negative
Caballeronia_insecticola,Gram-negative
Caballeronia_jiangsuensis,Gram-negative
Caballeronia_megalochromosomata,Gram-negative
Caballeronia_mineralivorans,Gram-negative
Caballeronia_novacaledonica,Gram-negative
Caballeronia_zhejiangensis,Gram-negative
Campylobacter_coli,Gram-negative
Campylobacter_fetus,Gram-negative
Campylobacter_hepaticus,Gram-negative
Campylobacter_hyointestinalis,Gram-negative
Campylobacter_jejuni,Gram-negative
Campylobacter_lari,Gram-negative
Campylobacter_subantarcticus,Gram-negative
Campylobacter_upsaliensis,Gram-negative
Chlamydia_abortus,Gram-negative
Chlamydia_avium,Gram-negative
Chlamydia_buteonis,Gram-negative
Chlamydia_caviae,Gram-negative
Chlamydia_felis,Gram-negative
Chlamydia_gallinacea,Gram-negative
Chlamydia_ibidis,Gram-negative
Chlamydia_muridarum,Gram-negative
Chlamydia_pecorum,Gram-negative
Chlamydia_pneumoniae,Gram-negative
Chlamydia_poikilothermis,Gram-negative
Chlamydia_psittaci,Gram-negative
