species,respiratory,respiratory_conf,enteric,enteric_conf,urogenital,urogenital_conf,skin_soft_tissue,skin_soft_tissue_conf,invasive_systemic,invasive_systemic_conf,healthcare,healthcare_conf,livestock,livestock_conf,foodborne,foodborne_conf,zoonotic,zoonotic_conf,environmental,environmental_conf,human_commensal,human_commensal_conf,eskape,who
Acinetobacter_baumannii,2,High,1,High,1,High,1,High,2,High,2,High,1,High,1,High,1,High,2,High,1,High,2,2
Acinetobacter_bereziniae,1,High,1,High,1,High,1,High,2,Low,2,Low,1,High,1,High,1,High,2,Low,1,High,1,1
Acinetobacter_calcoaceticus,1,High,1,High,1,High,1,High,1,High,2,Low,1,High,1,High,1,High,2,Low,1,Low,1,1
Acinetobacter_lactucae,1,High,1,High,1,High,1,High,1,Low,1,Low,1,High,1,High,1,High,2,Low,1,Low,1,1
Acinetobacter_nosocomialis,2,Low,1,High,1,High,1,High,2,Low,2,Low,1,High,1,High,1,High,2,Low,1,High,1,1
Acinetobacter_oleivorans,1,High,1,High,1,High,1,High,1,Low,1,Low,1,High,1,High,1,High,2,Low,1,High,1,1
Acinetobacter_pittii,2,Low,1,High,1,High,1,High,2,Low,2,Low,1,High,1,High,1,High,2,Low,1,High,1,1
Acinetobacter_seifertii,1,High,1,High,1,High,1,High,2,Low,2,Low,1,High,1,High,1,High,2,Low,1,High,1,1
Acinetobacter_soli,1,High,1,High,1,High,1,High,1,Low,1,Low,1,High,1,High,1,High,2,Low,1,High,1,1
Bacillus_cereus,1,High,2,High,1,High,2,Low,2,Low,1,High,1,High,2,High,1,High,2,High,1,High,1,1
Bordetella_bronchiseptica,2,High,1,High,1,High,1,High,1,High,1,High,2,Low,1,High,2,Low,1,High,1,High,1,1
Bordetella_hinzii,2,Low,1,High,1,High,1,High,1,High,1,High,2,Low,1,High,2,Low,1,High,1,High,1,1
Bordetella_holmesii,2,Low,1,High,1,High,1,High,2,Low,1,High,1,High,1,High,1,High,1,High,2,Low,1,1
Bordetella_parapertussis,2,High,1,High,1,High,1,High,1,High,1,High,1,High,1,High,1,High,1,High,2,High,1,1
Bordetella_pertussis,2,High,1,High,1,High,1,High,1,High,1,High,1,High,1,High,1,High,1,High,2,Low,1,1
Borrelia_bavariensis,1,High,1,High,1,High,1,High,2,High,1,High,1,High,1,High,2,Low,1,High,1,High,1,1
Borrelia_garinii,1,High,1,High,1,High,1,High,2,Low,1,High,1,High,1,High,2,Low,1,High,1,High,1,1
Brucella_abortus,1,High,1,High,1,High,1,High,2,Low,1,High,2,Low,2,Low,2,Low,1,High,1,High,1,1
Brucella_ceti,1,High,1,High,1,High,1,High,2,Low,1,High,1,High,1,High,2,Low,1,High,1,High,1,1
Brucella_melitensis,1,High,1,High,1,High,1,High,2,Low,1,High,2,Low,2,Low,2,Low,1,High,1,High,1,1
Brucella_suis,1,High,1,High,1,High,1,High,2,Low,1,High,2,Low,2,High,2,High,1,High,1,High,1,1
Burkholderia_aenigmatica,1,Low,1,High,1,High,1,High,1,Low,1,Low,1,High,1,High,1,High,2,Low,1,High,1,1
Burkholderia_ambifaria,1,Low,1,High,1,High,1,High,2,Low,2,Low,1,High,1,High,1,High,2,Low,1,High,1,1
Burkholderia_anthina,1,Low,1,High,1,High,1,High,2,Low,2,Low,1,High,1,High,1,High,2,Low,1,High,1,1
Burkholderia_arboris,1,Low,1,High,1,High,1,High,1,Low,1,Low,1,High,1,High,1,High,2,Low,1,High,1,1
Burkholderia_cenocepacia,2,Low,1,High,1,High,1,High,2,Low,2,Low,1,High,1,High,1,High,2,Low,1,High,1,1
Burkholderia_cepacia,2,High,1,High,1,High,1,High,2,High,2,High,1,High,1,High,1,High,2,Low,1,High,1,1
Burkholderia_contaminans,2,Low,1,High,1,High,1,High,2,Low,2,Low,1,High,1,High,1,High,2,Low,1,High,1,1
Burkholderia_diffusa,1,Low,1,High,1,High,1,High,1,High,1,Low,1,High,1,High,1,High,2,Low,1,High,1,1
Burkholderia_dolosa,2,Low,1,High,1,High,1,High,2,Low,2,Low,1,High,1,High,1,High,2,Low,1,High,1,1
Burkholderia_gladioli,2,Low,1,High,1,High,1,High,2,Low,2,Low,1,High,2,Low,1,High,2,Low,1,High,1,1
Burkholderia_latens,1,Low,1,High,1,High,1,High,2,Low,2,Low,1,High,1,High,1,High,2,Low,1,High,1,1
Burkholderia_multivorans,2,Low,1,High,1,High,1,High,2,Low,2,Low,1,High,1,High,1,High,2,Low,1,High,1,1
Burkholderia_pseudomallei,2,High,1,High,1,High,2,Low,2,High,1,High,1,High,1,High,1,High,2,Low,1,High,1,1
Burkholderia_pyrrocinia,1,Low,1,High,1,High,1,High,2,Low,2,Low,1,High,1,High,1,High,2,Low,1,High,1,1
Burkholderia_savannae,1,Low,1,High,1,High,1,High,1,Low,1,Low,1,High,1,High,1,High,2,Low,1,High,1,1
Burkholderia_seminalis,1,Low,1,High,1,High,1,High,2,Low,2,Low,1,High,1,High,1,High,2,Low,1,High,1,1
Burkholderia_ubonensis,1,Low,1,High,1,High,1,High,1,Low,1,Low,1,High,1,High,1,High,2,Low,1,High,1,1
Burkholderia_vietnamiensis,2,Low,1,High,1,High,1,High,2,Low,2,Low,1,High,1,High,1,High,2,Low,1,High,1,1
Campylobacter_coli,1,High,2,High,1,High,1,High,1,High,1,High,2,High,2,High,2,High,1,High,1,High,1,1
Campylobacter_jejuni,1,High,2,High,1,High,1,High,1,High,1,High,2,High,2,High,2,High,1,High,1,High,1,1
Campylobacter_lari,1,High,2,High,1,High,1,High,1,High,1,High,2,High,2,High,2,High,1,High,1,High,1,1
Chlamydia_abortus,1,High,1,High,1,High,1,High,2,Low,1,High,2,High,1,High,2,Low,1,High,1,High,1,1
Chlamydia_avium,1,Low,1,High,1,High,1,High,1,High,1,High,2,High,1,High,1,Low,1,High,1,High,1,1
