iso3,year,rural,rural_growth,urban,urban_growth,air_pollution,ag_land
AFG,1990,78.823,8.96E-02,21.177,0.623574329,49.28239771,58.32298422
AFG,1991,78.734,0.356908546,21.266,0.889255391,..,58.30765221
AFG,1992,78.645,11.40941718,21.355,11.940176,..,58.30765221
AFG,1993,78.556,14.85122864,21.444,15.38033614,..,58.16046487
AFG,1994,78.466,9.749627521,21.534,10.28308499,..,57.97494749
AFG,1995,78.376,5.931764954,21.624,6.463627944,48.5648929,57.89828741
AFG,1996,78.286,3.988128929,21.714,4.518348289,..,57.88908821
AFG,1997,78.195,3.794296747,21.805,4.328815439,..,57.94734986
AFG,1998,78.105,3.767769307,21.895,4.294823852,..,58.05927357
AFG,1999,78.014,3.961296941,21.986,4.492655212,..,57.89982062
AFG,2000,77.922,1.325806085,22.078,1.8613773,51.55453373,57.94581666
AFG,2001,77.831,0.625666868,22.169,1.153838615,..,57.94734986
AFG,2002,77.739,6.331047782,22.261,6.863452978,..,57.93968385
AFG,2003,77.647,7.422603719,22.353,7.953447688,..,58.08380479
AFG,2004,77.5,3.743680311,22.5,4.588653258,..,58.15126566
AFG,2005,77.297,3.314227377,22.703,4.47468959,46.15192895,58.13440044
AFG,2006,77.093,3.875414618,22.907,5.034216003,..,58.12366803
AFG,2007,76.887,1.525627223,23.113,2.688468426,..,58.12980084
AFG,2008,76.68,1.732743176,23.32,2.8939489,..,58.13286724
AFG,2009,76.472,3.289663734,23.528,4.449268736,..,58.13286724
AFG,2010,76.263,2.621229215,23.737,3.779279064,51.82178913,58.13440044
AFG,2011,76.052,3.412449184,23.948,4.574493314,56.24722763,58.13133404
AFG,2012,75.84,3.798482719,24.16,4.958980984,54.70023262,58.12980084
AFG,2013,75.627,3.185536778,24.373,4.344553352,58.79165857,58.12366803
AFG,2014,75.413,3.374205965,24.587,4.531768503,61.86532919,58.12366803
AFG,2015,75.197,2.834510708,24.803,3.996007967,60.59701482,58.12366803
AFG,2016,74.98,2.292555436,25.02,3.452642906,57.20370424,58.12366803
AFG,2017,74.75,2.559272446,25.25,3.781556617,53.35536322,58.12366803
AFG,2018,74.505,2.556908766,25.495,3.850832833,52.80462038,58.27698818
AFG,2019,74.246,2.56029651,25.754,3.919286985,52.41704109,58.27698818
AFG,2020,73.974,2.767723855,26.026,4.185357062,..,58.74154823
AFG,2021,73.686,2.461274744,26.314,3.951857289,..,58.74154823
AFG,2022,73.384,2.123806465,26.616,3.675647413,..,..
ALB,1990,63.572,1.375264651,36.428,2.543042545,24.9474816,40.91240876
ALB,1991,63.3,-1.031569348,36.7,0.141060582,..,41.13138686
ALB,1992,62.751,-1.477534579,37.249,0.87843043,..,41.13138686
ALB,1993,62.201,-1.490477174,37.799,0.85553496,..,41.09489051
ALB,1994,61.646,-1.510146215,38.354,0.84372567,..,41.09489051
ALB,1995,61.089,-1.525393407,38.911,0.82417126,24.12933961,41.13138686
ALB,1996,60.527,-1.545737004,39.473,0.812476342,..,41.27737226
ALB,1997,59.965,-1.558245659,40.035,0.788237295,..,41.42335766
ALB,1998,59.399,-1.577691905,40.601,0.774515179,..,41.56934307
ALB,1999,58.831,-1.594233873,41.169,0.755983737,..,41.78832117
ALB,2000,58.259,-1.614394032,41.741,0.742478629,24.30286936,41.75182482
ALB,2001,57.565,-2.136817959,42.435,0.710442618,..,41.56934307
ALB,2002,56.499,-2.169088757,43.501,2.181208904,..,41.60583942
ALB,2003,55.427,-2.289748621,44.573,2.060274182,..,40.91240876
ALB,2004,54.349,-2.382000972,45.651,1.971798937,..,40.94890511
ALB,2005,53.269,-2.518952622,46.731,1.826429357,22.16948971,39.30656934
ALB,2006,52.185,-2.686833451,47.815,1.662227897,..,40.87591241
ALB,2007,51.098,-2.860733909,48.902,1.49221507,..,40.83941606
ALB,2008,50.009,-2.921578419,49.991,1.435124211,..,43.10218978
ALB,2009,48.924,-2.867395703,51.076,1.473287913,..,43.84306569
ALB,2010,47.837,-2.743291493,52.163,1.609373264,21.63144957,43.84306569
ALB,2011,46.753,-2.561111693,53.247,1.787783785,23.414815,43.83211679
ALB,2012,45.67,-2.508854494,54.33,1.848378936,21.55597679,43.84306569
ALB,2013,44.613,-2.524864649,55.387,1.74363937,20.05028087,43.33211679
ALB,2014,43.577,-2.556585404,56.423,1.646115996,19.94217042,42.85729927
ALB,2015,42.566,-2.638588443,57.434,1.484764333,19.54397528,42.85766423
ALB,2016,41.579,-2.505938185,58.421,1.54401448,17.81730527,43.12773723
ALB,2017,40.617,-2.432825322,59.383,1.541284964,19.01906113,42.8569708
ALB,2018,39.681,-2.578121102,60.319,1.317162104,18.82011853,42.84967153
ALB,2019,38.771,-2.746066612,61.229,1.071413549,18.63878032,42.84671533
ALB,2020,37.888,-2.878003312,62.112,0.857610923,..,42.53850365
ALB,2021,37.031,-3.214804211,62.969,0.44340448,..,41.47189781
ALB,2022,36.201,-3.556688564,63.799,1.97E-02,..,..
DZA,1990,47.915,0.86491495,52.085,4.016594614,30.06889972,16.23854829
DZA,1991,47.129,0.73064488,52.871,3.88245075,..,16.21587579
DZA,1992,46.343,0.641925394,53.657,3.799446791,..,16.31790204
DZA,1993,45.561,0.538553515,54.439,3.687255638,..,16.31664245
DZA,1994,44.781,0.38093414,55.219,3.530373614,..,16.6432944
DZA,1995,44.003,0.165428401,55.997,3.317148645,32.11741075,16.64707315
DZA,1996,43.226,-1.82E-02,56.774,3.141354438,..,16.64161495
DZA,1997,42.456,-0.116230971,57.544,3.028298532,..,16.66428745
DZA,1998,41.687,-0.317323381,58.313,2.838094931,..,16.72138856
DZA,1999,40.882,-0.551511395,59.118,2.769464534,..,16.68150176
DZA,2000,40.081,-0.576456855,59.919,2.748112305,35.37684627,16.80326148
DZA,2001,39.288,-0.622398145,60.712,2.690703779,..,16.84020926
DZA,2002,38.499,-0.679816979,61.501,2.640071821,..,16.73356454
DZA,2003,37.716,-0.700547991,62.284,2.61935316,..,16.7548515
DZA,2004,36.939,-0.674375308,63.061,2.647066229,..,17.27518537
DZA,2005,36.17,-0.739705161,63.83,2.576161539,34.00185152,17.3028962
DZA,2006,35.407,-0.690913238,64.593,2.629411988,..,17.29030037
DZA,2007,34.652,-0.527500611,65.348,2.789987447,..,17.32011051
DZA,2008,33.903,-0.476222486,66.097,2.848624388,..,17.34404259
DZA,2009,33.174,-0.377807621,66.826,2.892792882,..,17.37385273
DZA,2010,32.46,-0.317085021,67.54,2.921480596,31.94215239,17.37133356
DZA,2011,31.764,-0.269105499,68.236,2.92362164,31.47118632,17.37721162
DZA,2012,31.085,-0.217713341,68.915,2.933258344,32.49110136,17.38149
DZA,2013,30.424,-0.182649747,69.576,2.921299417,30.3495654,17.39553226
DZA,2014,29.779,-0.163783327,70.221,2.901821798,31.87523927,17.39526565
DZA,2015,29.152,-0.128045042,70.848,2.888877932,33.44000481,17.40592281
DZA,2016,28.541,-0.124752261,71.459,2.852142557,32.79009631,17.36553219
DZA,2017,27.948,-0.142598336,72.052,2.783424625,32.55274407,17.35501081
DZA,2018,27.371,-0.182834594,72.629,2.700947183,32.66295035,17.35656799
DZA,2019,26.811,-0.227737006,73.189,2.607529824,32.83308539,17.34700415
DZA,2020,26.267,-0.317427607,73.733,2.472988752,..,17.34700415
DZA,2021,25.739,-0.372904438,74.261,2.371249675,..,17.34700415
DZA,2022,25.228,-0.376939621,74.772,2.314093577,..,..
ASM,1990,19.052,-0.284994164,80.948,4.10286915,6.724221144,9.65
ASM,1991,18.114,-2.624705832,81.886,3.577881438,..,9.82
ASM,1992,17.211,-2.915658429,82.789,3.287987568,..,9.99
ASM,1993,16.346,-2.991273423,83.654,3.204337377,..,10.16
ASM,1994,15.515,-3.071188759,84.485,3.143329433,..,10.33
ASM,1995,14.72,-3.143062204,85.28,3.040940545,6.677788857,10.5
ASM,1996,13.957,-3.28449488,86.043,2.927734995,..,10.67
ASM,1997,13.229,-3.409649096,86.771,2.802988413,..,10.84
ASM,1998,12.533,-3.57230287,87.467,2.625617652,..,11.01
ASM,1999,11.869,-3.70465911,88.131,2.491476974,..,11.18
ASM,2000,11.413,-2.818759532,88.587,1.614230592,5.899967661,11.35
ASM,2001,11.509,1.003077502,88.491,5.23E-02,..,11.5
ASM,2002,11.606,0.579281234,88.394,-0.361039252,..,11.65
ASM,2003,11.703,0.428582641,88.297,-0.516645883,..,11.8
ASM,2004,11.802,0.294507649,88.198,-0.65696172,..,11.95
ASM,2005,11.9,0.17628916,88.1,-0.758402308,6.073849362,12.1
ASM,2006,12,0.102692006,88,-0.844138879,..,12.25
ASM,2007,12.1,2.93E-02,87.9,-0.915871352,..,12.4
ASM,2008,12.201,-4.40E-02,87.799,-0.991562675,..,12.55
ASM,2009,12.303,-0.102707074,87.697,-1.061202674,..,12.7
ASM,2010,12.406,-0.10281267,87.594,-1.055932294,5.822674196,12.85
ASM,2011,12.498,-0.250128873,87.502,-1.092449598,5.495040024,13
ASM,2012,12.58,-0.502142541,87.42,-1.238648471,5.582985487,13.15
ASM,2013,12.652,-0.728140523,87.348,-1.388032196,5.575990242,13.3
ASM,2014,12.712,-1.004280344,87.288,-1.547887091,5.977969295,13.45
ASM,2015,12.762,-1.243005242,87.238,-1.697112343,6.029516789,13.6
ASM,2016,12.802,-1.506098855,87.198,-1.851362534,6.543290084,13.75
ASM,2017,12.83,-1.749497918,87.17,-2.004498446,6.339296397,13.9
ASM,2018,12.847,-1.989402763,87.153,-2.142604233,6.35907699,14.05
ASM,2019,12.853,-2.259707628,87.147,-2.310689801,6.300155035,14.2
ASM,2020,12.847,-2.463506739,87.153,-2.41501908,..,14.35
ASM,2021,12.831,-2.664091982,87.169,-2.510444748,..,14.5
ASM,2022,12.804,-1.90448667,87.196,-1.677387423,..,..
AND,1990,5.288,6.753158277,94.712,3.499911002,14.26030327,48.93617021
AND,1991,5.47,6.788624693,94.53,3.230904074,..,48.93617021
