iso3,year,gdp
USA,1990,39303.48901
USA,1991,38739.79832
USA,1992,39552.02188
USA,1993,40108.00804
USA,1994,41215.34293
USA,1995,41820.68019
USA,1996,42896.41648
USA,1997,44267.90588
USA,1998,45715.69265
USA,1999,47360.53642
USA,2000,48746.04096
USA,2001,48726.58167
USA,2002,49095.3318
USA,2003,50036.23423
USA,2004,51485.20741
USA,2005,52789.73142
USA,2006,53738.09173
USA,2007,54299.61724
USA,2008,53854.16061
USA,2009,51996.1835
USA,2010,52963.46417
USA,2011,53394.86184
USA,2012,54213.45955
USA,2013,54830.78407
USA,2014,55675.38685
USA,2015,56762.72945
USA,2016,57292.53878
USA,2017,58207.57831
USA,2018,59607.39366
USA,2019,60698.0113
USA,2020,58451.60672
USA,2021,61829.84563
USA,2022,62866.71439
AFG,1990,..
AFG,1991,..
AFG,1992,..
AFG,1993,..
AFG,1994,..
AFG,1995,..
AFG,1996,..
AFG,1997,..
AFG,1998,..
AFG,1999,..
AFG,2000,..
AFG,2001,..
AFG,2002,359.7661164
AFG,2003,363.1012531
AFG,2004,354.0336902
AFG,2005,379.9555903
AFG,2006,384.0780637
AFG,2007,429.4122672
AFG,2008,437.4197517
AFG,2009,512.408957
AFG,2010,569.282354
AFG,2011,551.0006237
AFG,2012,596.44244
AFG,2013,608.3863319
AFG,2014,602.5166003
AFG,2015,592.4761648
AFG,2016,590.4273674
AFG,2017,588.9300803
AFG,2018,578.9855448
AFG,2019,584.3865153
AFG,2020,553.036131
AFG,2021,426.2294013
AFG,2022,..
ALB,1990,1606.296472
ALB,1991,1163.491601
ALB,1992,1086.438774
ALB,1993,1197.580911
ALB,1994,1305.001064
ALB,1995,1488.020885
ALB,1996,1633.552004
ALB,1997,1464.297966
ALB,1998,1603.647655
ALB,1999,1821.873136
ALB,2000,1960.882465
ALB,2001,2143.526845
ALB,2002,2247.498086
ALB,2003,2380.644627
ALB,2004,2522.449381
ALB,2005,2675.508644
ALB,2006,2851.367767
ALB,2007,3044.896625
ALB,2008,3298.478917
ALB,2009,3432.170881
ALB,2010,3577.114334
ALB,2011,3678.047711
ALB,2012,3736.340089
ALB,2013,3780.699203
ALB,2014,3855.760754
ALB,2015,3952.803584
ALB,2016,4090.372739
ALB,2017,4249.820061
ALB,2018,4431.555607
ALB,2019,4543.387723
ALB,2020,4418.660885
ALB,2021,4857.111955
ALB,2022,5158.509128
DZA,1990,3153.47582
DZA,1991,3042.215899
DZA,1992,3025.839538
DZA,1993,2896.668401
DZA,1994,2810.726735
DZA,1995,2862.107859
DZA,1996,2927.377427
DZA,1997,2910.239233
DZA,1998,3012.805434
DZA,1999,3066.03769
DZA,2000,3138.230009
DZA,2001,3188.206215
DZA,2002,3321.63775
DZA,2003,3512.899037
DZA,2004,3612.752968
DZA,2005,3774.071242
DZA,2006,3783.312951
DZA,2007,3848.778238
DZA,2008,3874.368056
DZA,2009,3866.295746
DZA,2010,3931.720046
DZA,2011,3969.660263
DZA,2012,4025.64147
DZA,2013,4057.764794
DZA,2014,4129.422535
DZA,2015,4197.419971
DZA,2016,4246.24216
DZA,2017,4218.082305
DZA,2018,4188.220371
DZA,2019,4153.003441
DZA,2020,3873.508733
DZA,2021,3939.360851
DZA,2022,3995.881885
ASM,1990,..
ASM,1991,..
ASM,1992,..
ASM,1993,..
ASM,1994,..
ASM,1995,..
ASM,1996,..
ASM,1997,..
ASM,1998,..
ASM,1999,..
ASM,2000,..
ASM,2001,..
ASM,2002,12804.43584
ASM,2003,12980.7223
ASM,2004,13105.16908
ASM,2005,13136.48008
ASM,2006,12690.52911
ASM,2007,13029.61628
ASM,2008,12795.02456
ASM,2009,12378.17019
ASM,2010,12532.31112
ASM,2011,12656.68814
ASM,2012,12247.63529
ASM,2013,12098.27515
ASM,2014,12494.98021
ASM,2015,13101.54182
ASM,2016,13116.43098
ASM,2017,12442.85767
ASM,2018,13049.33015
ASM,2019,13288.35656
ASM,2020,14303.62703
ASM,2021,14396.36856
ASM,2022,..
AND,1990,30578.06
AND,1991,30301.62992
AND,1992,29596.02217
AND,1993,28363.33894
AND,1994,28144.3744
AND,1995,28051.39002
AND,1996,28797.8532
AND,1997,31149.35565
AND,1998,31895.98079
AND,1999,32966.23685
AND,2000,33901.17697
AND,2001,35722.52889
AND,2002,35749.92891
AND,2003,37250.29519
AND,2004,38696.49461
AND,2005,39307.14086
AND,2006,40994.44761
AND,2007,42724.5672
AND,2008,41470.43793
AND,2009,40442.78511
AND,2010,40937.27407
AND,2011,41486.19948
AND,2012,39174.89729
AND,2013,37597.70533
AND,2014,38402.64926
AND,2015,38885.53032
AND,2016,39886.64009
AND,2017,39321.61431
AND,2018,39320.09245
AND,2019,39413.79088
AND,2020,34394.41404
AND,2021,36616.10076
AND,2022,39447.51972
AGO,1990,2254.754897
AGO,1991,2202.61365
AGO,1992,2007.719927
AGO,1993,1478.70332
AGO,1994,1451.338125
AGO,1995,1615.026169
AGO,1996,1773.709884
AGO,1997,1840.321903
AGO,1998,1864.502373
AGO,1999,1844.687842
AGO,2000,1840.353828
AGO,2001,1855.780177
AGO,2002,2040.194755
AGO,2003,2030.686208
AGO,2004,2175.414769
AGO,2005,2414.918484
AGO,2006,2598.795671
AGO,2007,2856.988846
AGO,2008,3061.636272
AGO,2009,2975.993427
AGO,2010,2992.992925
AGO,2011,2982.665231
AGO,2012,3118.020183
AGO,2013,3152.515808
AGO,2014,3185.009706
AGO,2015,3100.830685
AGO,2016,2914.412131
AGO,2017,2808.598715
AGO,2018,2677.249833
AGO,2019,2569.701651
AGO,2020,2346.846019
AGO,2021,2300.974614
AGO,2022,2298.748312
ATG,1990,11727.10929
ATG,1991,11924.73887
ATG,1992,11871.65842
ATG,1993,12275.39592
ATG,1994,12853.28379
ATG,1995,12054.6163
ATG,1996,12592.99959
ATG,1997,13017.21157
ATG,1998,13378.71536
ATG,1999,13639.99593
ATG,2000,14247.97301
ATG,2001,13392.98172
ATG,2002,13358.81437
ATG,2003,14010.84906
ATG,2004,14656.29262
ATG,2005,15423.80002
ATG,2006,17163.39783
ATG,2007,18505.79067
ATG,2008,18228.64913
ATG,2009,15804.44514
ATG,2010,14367.9515
ATG,2011,13918.59653
ATG,2012,14232.96959
ATG,2013,14015.87931
ATG,2014,14427.40691
ATG,2015,14861.88271
ATG,2016,15570.90406
ATG,2017,15962.72887
ATG,2018,16957.63268
ATG,2019,17599.96872
ATG,2020,14433.8798
ATG,2021,15288.43788
ATG,2022,16485.44164
ARG,1990,8144.494294
ARG,1991,8762.661384
ARG,1992,9327.859451
ARG,1993,9957.256522
ARG,1994,10397.37929
ARG,1995,9969.331576
ARG,1996,10388.53871
ARG,1997,11097.38206
ARG,1998,11391.94516
ARG,1999,10880.20621
ARG,2000,10672.72204
ARG,2001,10090.65344
ARG,2002,8895.319642
ARG,2003,9581.969792
ARG,2004,10341.64341
ARG,2005,11141.31067
ARG,2006,11913.95853
ARG,2007,12857.09258
ARG,2008,13246.63489
ARG,2009,12336.86194
ARG,2010,13551.33919
ARG,2011,14200.26989
ARG,2012,13895.63371
ARG,2013,14071.50868
ARG,2014,13567.94842
ARG,2015,13789.06042
ARG,2016,13360.21183
ARG,2017,13595.03736
ARG,2018,13105.39716
ARG,2019,12716.2242
ARG,2020,11341.26837
ARG,2021,12402.49079
ARG,2022,12932.46953
ARM,1990,1641.983147
ARM,1991,1425.386743
ARM,1992,839.5720306
ARM,1993,791.6469969
ARM,1994,855.0810417
ARM,1995,928.0924974
ARM,1996,989.6423441
ARM,1997,1031.09826
ARM,1998,1116.907193
ARM,1999,1166.187963
ARM,2000,1249.61213
ARM,2001,1385.044795
ARM,2002,1582.057623
ARM,2003,1815.788226
ARM,2004,2018.460143
ARM,2005,2312.982863
ARM,2006,2636.256651
ARM,2007,3019.465563
ARM,2008,3250.498614
ARM,2009,2810.192843
ARM,2010,2889.566231
ARM,2011,3043.262789
ARM,2012,3278.670451
ARM,2013,3402.083858
ARM,2014,3538.529395
ARM,2015,3666.141825
ARM,2016,3689.830085
ARM,2017,3985.916702
ARM,2018,4215.899398
ARM,2019,4561.967803
ARM,2020,4256.131232
ARM,2021,4522.319045
ARM,2022,5111.370028
ABW,1990,24007.49571
ABW,1991,25097.27211
ABW,1992,25692.23846
ABW,1993,26743.7228
ABW,1994,28027.51564
ABW,1995,27868.54308
ABW,1996,27358.54212
ABW,1997,28413.14401
ABW,1998,28121.31558
ABW,1999,27646.19565
ABW,2000,29005.93337
ABW,2001,29693.13991
ABW,2002,29059.48651
ABW,2003,29093.57824
ABW,2004,30931.9365
ABW,2005,30505.33919
ABW,2006,30490.36584
ABW,2007,31051.00157
ABW,2008,31230.19304
ABW,2009,27243.3332
ABW,2010,26200.7273
ABW,2011,26829.63448
ABW,2012,26337.58506
ABW,2013,27821.7916
ABW,2014,27624.3773
ABW,2015,28421.38649
ABW,2016,28852.23707
ABW,2017,30270.9416
ABW,2018,31705.27882
ABW,2019,31762.73396
ABW,2020,25823.63494
ABW,2021,30271.83363
ABW,2022,..
AUS,1990,36964.67245
AUS,1991,36356.69487
AUS,1992,36106.01327
AUS,1993,37234.68231
AUS,1994,38345.87612
AUS,1995,39395.21074
AUS,1996,40420.97941
AUS,1997,41550.5511
AUS,1998,43036.32342
AUS,1999,44677.89465
AUS,2000,45892.61037
AUS,2001,46232.03825
AUS,2002,47534.54521
AUS,2003,48453.0138
AUS,2004,49959.07241
AUS,2005,50911.13414
AUS,2006,51605.3146
AUS,2007,52586.40939
AUS,2008,53382.31006
AUS,2009,53271.59019
AUS,2010,53606.58144
AUS,2011,54131.10471
AUS,2012,55269.91928
AUS,2013,55727.73415
AUS,2014,56318.63598
AUS,2015,56708.9612
AUS,2016,57354.54981
AUS,2017,57701.52385
AUS,2018,58479.50355
AUS,2019,58868.48063
AUS,2020,58115.93067
AUS,2021,59339.68435
AUS,2022,60797.95865
AUT,1990,31340.68129
AUT,1991,32097.24109
