iso3,year,gini,corruption,gov,reg,acc
AFG,1990,,,,,
AFG,1991,,,,,
AFG,1992,,,,,
AFG,1993,,,,,
AFG,1994,,,,,
AFG,1995,,,,,
AFG,1996,,-1.291704774,-2.175166607,-2.090330362,-1.90854013
AFG,1997,,,,,
AFG,1998,,-1.176012278,-2.102291822,-2.062872171,-2.039301157
AFG,1999,,,,,
AFG,2000,,-1.271724224,-2.173946142,-2.080252647,-2.031417131
AFG,2001,,,,,
AFG,2002,,-1.251137018,-1.587687016,-1.81154573,-1.433421016
AFG,2003,,-1.344179749,-1.127419591,-1.463107824,-1.177571177
AFG,2004,,-1.35064733,-0.909888744,-1.511548996,-1.203033924
AFG,2005,,-1.447252393,-1.217238426,-1.643440247,-1.12542963
AFG,2006,,-1.446292281,-1.465511322,-1.689468622,-1.110293984
AFG,2007,,-1.61325109,-1.443468094,-1.708872318,-1.057653904
AFG,2008,,-1.672095537,-1.533435464,-1.607166886,-1.168901801
AFG,2009,,-1.552298784,-1.511001945,-1.664507627,-1.375495195
AFG,2010,,-1.645391107,-1.480805755,-1.516528249,-1.404467344
AFG,2011,,-1.600470781,-1.477033496,-1.536323905,-1.335976958
AFG,2012,,-1.430372834,-1.376418829,-1.192579746,-1.267430067
AFG,2013,,-1.445908427,-1.400745392,-1.1930902,-1.240068436
AFG,2014,,-1.364742875,-1.362318277,-1.124133706,-1.135439992
AFG,2015,,-1.348587155,-1.351807714,-1.006208181,-1.117556691
AFG,2016,,-1.534049273,-1.254181504,-1.336581707,-1.037788033
AFG,2017,,-1.521725655,-1.35992229,-1.355372787,-0.990813971
AFG,2018,,-1.489771724,-1.479299188,-1.147590399,-1.011600018
AFG,2019,,-1.407710433,-1.495626688,-1.123045802,-1.006746769
AFG,2020,,-1.480537772,-1.585144877,-1.402760983,-1.077736378
AFG,2021,,-1.1423769,-1.634369612,-1.338022232,-1.570883274
AFG,2022,,,,,
ALB,1990,,,,,
ALB,1991,,,,,
ALB,1992,,,,,
ALB,1993,,,,,
ALB,1994,,,,,
ALB,1995,,,,,
