iso3,year,health_gdp,beds,physicians,undernourishment,antiretroviral,hiv,malaria,tuberculosis
AFG,1990,..,0.249799997,0.109,..,..,0.01,..,..
AFG,1991,..,..,..,..,..,0.01,..,..
AFG,1992,..,..,..,..,..,0.01,..,..
AFG,1993,..,..,0.143,..,..,0.01,..,..
AFG,1994,..,..,..,..,..,0.01,..,..
AFG,1995,..,..,..,..,..,0.01,..,..
AFG,1996,..,..,..,..,..,0.01,..,..
AFG,1997,..,..,0.11,..,..,0.01,..,..
AFG,1998,..,..,..,..,..,0.01,..,..
AFG,1999,..,..,..,..,..,0.01,..,..
AFG,2000,..,0.3,..,..,0,0.02,87.15782905,190
AFG,2001,..,0.39,0.1899,47.8,0,0.02,86.51306118,189
AFG,2002,9.44339085,0.39,..,45.6,0,0.02,85.43611013,189
AFG,2003,8.94125843,0.39,..,40.6,0,0.02,71.20592661,189
AFG,2004,9.80847359,0.39,..,38,0,0.02,39.49003799,189
AFG,2005,9.94828892,0.42,..,36.1,0,0.02,28.45800921,189
AFG,2006,10.62276554,0.42,0.1596,33.3,0,0.02,21.32484859,189
AFG,2007,9.90467453,0.42,0.1743,29.8,0,0.02,22.66924605,189
AFG,2008,10.25649548,0.42,0.1744,26.5,0,0.02,19.77918887,189
AFG,2009,9.81848717,0.42,0.2126,23.3,1,0.02,13.0267993,189
AFG,2010,8.56967163,0.43,0.2365,21.2,1,0.02,13.43902615,189
AFG,2011,8.56190777,0.44,0.2518,20.2,2,0.02,16.07053918,189
AFG,2012,7.89716864,0.53,0.2414,21.1,3,0.03,9.395939774,189
AFG,2013,8.80596447,0.53,0.2846,20.7,4,0.03,11.50176055,189
AFG,2014,9.52887821,0.5,0.2983,20.7,4,0.03,12.6553351,189
AFG,2015,10.10534763,0.5,0.285,21.5,5,0.03,14.15333928,189
AFG,2016,11.81859016,0.5,0.2782,22.2,7,0.03,27.46298543,189
AFG,2017,12.62081718,0.39,0.2409,23,11,0.03,29.07702729,189
AFG,2018,14.20841891,..,0.2966,24,11,0.03,22.40214744,189
AFG,2019,14.8313194,..,0.2125,26.9,11,0.03,14.20253722,189
AFG,2020,15.53361392,..,0.2538,29.8,11,0.03,8.427045026,189
AFG,2021,16.82606226,..,..,..,10,0.04,6.251628365,189
AFG,2022,..,..,..,..,..,..,..,..
ALB,1990,..,4.02489996,1.3743,..,..,0.01,..,..
ALB,1991,..,3.998699903,1.4611,..,..,0.01,..,..
ALB,1992,..,4.013400078,1.6217,..,..,0.01,..,..
ALB,1993,..,3.831399918,1.4131,..,..,0.01,..,..
ALB,1994,..,3.017100096,1.345,..,..,0.01,..,..
ALB,1995,..,3.190000057,1.3634,..,..,0.01,..,..
ALB,1996,..,3.140000105,1.3806,..,..,0.01,..,..
ALB,1997,..,3.049999952,1.3885,..,..,0.01,..,..
ALB,1998,..,3.049999952,1.3904,..,..,0.01,..,..
ALB,1999,..,3.029999971,..,..,..,0.01,..,..
ALB,2000,5.94418573,3.26,1.3821,..,0,0.01,..,22
ALB,2001,5.92583275,3.26,1.31,4.9,0,0.01,..,20
ALB,2002,5.6645999,3.14,1.1695,6.1,0,0.02,..,22
ALB,2003,6.19891882,3.07,1.1863,7.5,0,0.02,..,20
ALB,2004,6.0557785,3.01,1.1913,8.6,4,0.02,..,20
ALB,2005,5.83303022,3.08,..,8.9,8,0.03,..,19
ALB,2006,5.6859889,3.12,1.1838,8.8,9,0.03,..,18
ALB,2007,5.70842791,3.09,1.1951,8.3,10,0.03,..,17
ALB,2008,5.50962448,..,..,7.3,14,0.03,..,16
ALB,2009,5.7276206,3.01,1.2297,6.3,16,0.03,..,17
ALB,2010,6.23899555,2.99,1.2347,5.8,17,0.03,..,17
ALB,2011,6.11952829,2.88,1.2217,5.4,21,0.03,..,17
ALB,2012,6.09262609,2.88,1.2683,5.1,26,0.03,..,16
ALB,2013,6.27234411,2.89,1.2773,5,34,0.03,..,19
ALB,2014,6.44164276,..,..,5,35,0.03,..,16
