"","iso3","year","life_expectancy","birth_mortality","migration_rate","density","pop_rate","pop"
"64","ABW","1960","64.152","..","0","..","..","54608"
"65","ABW","1961","64.537","..","-569","310.0611111","2.179059041","55811"
"66","ABW","1962","64.752","..","-609","314.9","1.548571744","56682"
"67","ABW","1963","65.132","..","-646","319.3055556","1.389337063","57475"
"68","ABW","1964","65.294","..","-684","323.2111111","1.215720575","58178"
"69","ABW","1965","65.502","..","-726","326.5666667","1.032840919","58782"
"70","ABW","1966","66.063","..","-761","329.3944444","0.862183824","59291"
"71","ABW","1967","66.439","..","-1175","330.6777778","0.388846828","59522"
"72","ABW","1968","66.757","..","-1219","330.3944444","-0.085719333","59471"
"73","ABW","1969","67.168","..","-1256","329.6111111","-0.237371851","59330"
"74","ABW","1970","67.583","..","-1280","328.3666667","-0.378263817","59106"
"75","ABW","1971","67.975","..","-1296","326.7555556","-0.491851537","58816"
"76","ABW","1972","68.577","..","-552","326.9722222","0.066286513","58855"
"77","ABW","1973","69.092","..","-314","329.8055556","0.862803525","59365"
"78","ABW","1974","69.503","..","-247","333.4888889","1.110629292","60028"
"79","ABW","1975","69.762","..","-281","337.3055556","1.137966447","60715"
"80","ABW","1976","70.035","..","-690","339.9611111","0.784201939","61193"
"81","ABW","1977","70.264","..","-710","341.4722222","0.443510323","61465"
"82","ABW","1978","70.494","..","-727","342.9888889","0.443171752","61738"
"83","ABW","1979","70.778","..","-734","344.4777778","0.433152992","62006"
"84","ABW","1980","71.066","..","-737","345.9277778","0.420043588","62267"
"85","ABW","1981","71.722","..","-551","347.8555556","0.555730484","62614"
"86","ABW","1982","71.959","..","-411","350.6444444","0.79854079","63116"
"87","ABW","1983","72.105","..","-399","353.7944444","0.894334781","63683"
"88","ABW","1984","72.251","..","-536","356.5222222","0.768049326","64174"
"89","ABW","1985","72.388","..","-746","358.2111111","0.47259361","64478"
"90","ABW","1986","72.462","..","-946","358.6277778","0.116251147","64553"
"91","ABW","1987","72.789","..","-1049","358.0555556","-0.159686243","64450"
"92","ABW","1988","73.047","..","-899","357.4","-0.183255475","64332"
"93","ABW","1989","73.023","..","-185","358.8666667","0.409531473","64596"
"94","ABW","1990","73.076","..","879","365.0666667","1.712906785","65712"
"95","ABW","1991","73.1","..","1946","377.0222222","3.222414529","67864"
"96","ABW","1992","73.179","..","1294","389.9555556","3.372864192","70192"
"97","ABW","1993","73.225","..","1662","402","3.04193161","72360"
"98","ABW","1994","73.272","..","1668","415.0555556","3.196029146","74710"
"99","ABW","1995","73.349","..","1598","428.0555556","3.084060978","77050"
"100","ABW","1996","73.448","..","1636","441.2055556","3.025788936","79417"
"101","ABW","1997","73.452","..","1656","454.7666667","3.027358768","81858"
"102","ABW","1998","73.491","..","1786","468.6388889","3.004804525","84355"
"103","ABW","1999","73.561","..","1828","482.5944444","2.934412926","86867"
"104","ABW","2000","73.569","..","1235","495.0055556","2.539234444","89101"
"105","ABW","2001","73.647","..","560","503.8388889","1.768756621","90691"
"106","ABW","2002","73.726","..","350","509.8944444","1.194718055","91781"
"107","ABW","2003","73.752","..","324","515.0055556","0.997395547","92701"
