id,Database
2855,Neisseria
13685,Neisseria
14729,Neisseria
15698,Neisseria
15935,Neisseria
15936,Neisseria
21065,Neisseria
21066,Neisseria
21067,Neisseria
21068,Neisseria
21070,Neisseria
21071,Neisseria
21073,Neisseria
26827,Neisseria
27091,Neisseria
27093,Neisseria
27110,Neisseria
27119,Neisseria
27121,Neisseria
27133,Neisseria
27137,Neisseria
27140,Neisseria
27146,Neisseria
27147,Neisseria
27148,Neisseria
27156,Neisseria
27157,Neisseria
27162,Neisseria
27163,Neisseria
27166,Neisseria
27174,Neisseria
27182,Neisseria
27184,Neisseria
27185,Neisseria
27186,Neisseria
27187,Neisseria
27188,Neisseria
27190,Neisseria
27191,Neisseria
27193,Neisseria
27195,Neisseria
27197,Neisseria
27198,Neisseria
27199,Neisseria
27200,Neisseria
27201,Neisseria
27202,Neisseria
27203,Neisseria
27204,Neisseria
27205,Neisseria
27206,Neisseria
27207,Neisseria
27208,Neisseria
27209,Neisseria
27210,Neisseria
27211,Neisseria
27212,Neisseria
27213,Neisseria
27214,Neisseria
27215,Neisseria
27216,Neisseria
27217,Neisseria
27218,Neisseria
27219,Neisseria
27220,Neisseria
27221,Neisseria
27222,Neisseria
27223,Neisseria
27224,Neisseria
27225,Neisseria
27230,Neisseria
27231,Neisseria
27232,Neisseria
27233,Neisseria
27234,Neisseria
27235,Neisseria
27236,Neisseria
27237,Neisseria
27238,Neisseria
27239,Neisseria
27240,Neisseria
27241,Neisseria
27242,Neisseria
27243,Neisseria
27244,Neisseria
27245,Neisseria
27247,Neisseria
27248,Neisseria
27249,Neisseria
27250,Neisseria
27251,Neisseria
27252,Neisseria
27253,Neisseria
27254,Neisseria
27255,Neisseria
27256,Neisseria
27257,Neisseria
27258,Neisseria
27259,Neisseria
27260,Neisseria
27261,Neisseria
27263,Neisseria
27264,Neisseria
27265,Neisseria
27266,Neisseria
27267,Neisseria
27268,Neisseria
27269,Neisseria
27270,Neisseria
27271,Neisseria
27272,Neisseria
27273,Neisseria
27274,Neisseria
27275,Neisseria
27276,Neisseria
27277,Neisseria
27278,Neisseria
27279,Neisseria
27280,Neisseria
27281,Neisseria
27282,Neisseria
27284,Neisseria
27285,Neisseria
27286,Neisseria
27287,Neisseria
27288,Neisseria
27289,Neisseria
27290,Neisseria
27291,Neisseria
27292,Neisseria
27293,Neisseria
27294,Neisseria
27295,Neisseria
27296,Neisseria
27297,Neisseria
27298,Neisseria
27299,Neisseria
27300,Neisseria
27301,Neisseria
27302,Neisseria
27303,Neisseria
27304,Neisseria
27305,Neisseria
27306,Neisseria
27307,Neisseria
27308,Neisseria
27309,Neisseria
27310,Neisseria
27311,Neisseria
27312,Neisseria
27313,Neisseria
27314,Neisseria
27315,Neisseria
27316,Neisseria
27317,Neisseria
27318,Neisseria
27319,Neisseria
27320,Neisseria
27321,Neisseria
27323,Neisseria
27324,Neisseria
27325,Neisseria
27326,Neisseria
27327,Neisseria
27328,Neisseria
27329,Neisseria
27330,Neisseria
27331,Neisseria
27332,Neisseria
27333,Neisseria
27334,Neisseria
27335,Neisseria
27336,Neisseria
27337,Neisseria
27338,Neisseria
27339,Neisseria
27340,Neisseria
27341,Neisseria
27342,Neisseria
27343,Neisseria
27344,Neisseria
27345,Neisseria
27346,Neisseria
27347,Neisseria
27348,Neisseria
27349,Neisseria
27350,Neisseria
27351,Neisseria
27352,Neisseria
27353,Neisseria
27354,Neisseria
27355,Neisseria
27356,Neisseria
27357,Neisseria
27358,Neisseria
27359,Neisseria
27360,Neisseria
27361,Neisseria
27362,Neisseria
27363,Neisseria
27364,Neisseria
27365,Neisseria
27366,Neisseria
27367,Neisseria
27368,Neisseria
27369,Neisseria
27370,Neisseria
27371,Neisseria
27372,Neisseria
27373,Neisseria
27374,Neisseria
27375,Neisseria
27376,Neisseria
27377,Neisseria
27378,Neisseria
27379,Neisseria
27380,Neisseria
27381,Neisseria
27382,Neisseria
27383,Neisseria
27384,Neisseria
27385,Neisseria
27386,Neisseria
27387,Neisseria
27388,Neisseria
27389,Neisseria
27390,Neisseria
27391,Neisseria
27392,Neisseria
27393,Neisseria
27394,Neisseria
27395,Neisseria
27396,Neisseria
27397,Neisseria
27398,Neisseria
27399,Neisseria
27400,Neisseria
27401,Neisseria
27402,Neisseria
27403,Neisseria
27404,Neisseria
27405,Neisseria
27406,Neisseria
27407,Neisseria
27408,Neisseria
27409,Neisseria
27410,Neisseria
27411,Neisseria
27412,Neisseria
27413,Neisseria
27414,Neisseria
27415,Neisseria
27416,Neisseria
27417,Neisseria
27418,Neisseria
27419,Neisseria
27420,Neisseria
27421,Neisseria
27422,Neisseria
27423,Neisseria
27424,Neisseria
27425,Neisseria
27426,Neisseria
27427,Neisseria
27428,Neisseria
27429,Neisseria
27430,Neisseria
27431,Neisseria
27432,Neisseria
27433,Neisseria
27434,Neisseria
27435,Neisseria
27436,Neisseria
27437,Neisseria
27438,Neisseria
27439,Neisseria
27440,Neisseria
27441,Neisseria
27442,Neisseria
27443,Neisseria
27444,Neisseria
27445,Neisseria
27446,Neisseria
27447,Neisseria
27448,Neisseria
27449,Neisseria
27450,Neisseria
27451,Neisseria
27452,Neisseria
27453,Neisseria
27454,Neisseria
27455,Neisseria
27456,Neisseria
27457,Neisseria
27458,Neisseria
27459,Neisseria
27460,Neisseria
27461,Neisseria
27462,Neisseria
27463,Neisseria
27464,Neisseria
27466,Neisseria
27467,Neisseria
27469,Neisseria
27470,Neisseria
27471,Neisseria
27472,Neisseria
27473,Neisseria
27474,Neisseria
27475,Neisseria
31178,Neisseria
31193,Neisseria
31333,Neisseria
31335,Neisseria
31336,Neisseria
31337,Neisseria
31339,Neisseria
31340,Neisseria
31341,Neisseria
31342,Neisseria
31344,Neisseria
31345,Neisseria
31346,Neisseria
31347,Neisseria
31348,Neisseria
31350,Neisseria
31352,Neisseria
31353,Neisseria
31354,Neisseria
31355,Neisseria
31356,Neisseria
31357,Neisseria
31359,Neisseria
31361,Neisseria
31362,Neisseria
31363,Neisseria
31364,Neisseria
31365,Neisseria
31366,Neisseria
31368,Neisseria
31370,Neisseria
31371,Neisseria
31373,Neisseria
31374,Neisseria
31375,Neisseria
31376,Neisseria
31377,Neisseria
31378,Neisseria
31379,Neisseria
31380,Neisseria
31381,Neisseria
31382,Neisseria
31383,Neisseria
31384,Neisseria
31385,Neisseria
31386,Neisseria
31387,Neisseria
31389,Neisseria
31390,Neisseria
31391,Neisseria
31392,Neisseria
31393,Neisseria
31395,Neisseria
31396,Neisseria
31397,Neisseria
31399,Neisseria
31400,Neisseria
31401,Neisseria
31402,Neisseria
31403,Neisseria
31404,Neisseria
31405,Neisseria
31406,Neisseria
31407,Neisseria
31408,Neisseria
31409,Neisseria
31410,Neisseria
31411,Neisseria
31412,Neisseria
31413,Neisseria
31414,Neisseria
31415,Neisseria
31416,Neisseria
31417,Neisseria
31418,Neisseria
31420,Neisseria
31421,Neisseria
31422,Neisseria
31423,Neisseria
31424,Neisseria
31425,Neisseria
31426,Neisseria
31427,Neisseria
31428,Neisseria
31430,Neisseria
31431,Neisseria
31432,Neisseria
31433,Neisseria
31434,Neisseria
31435,Neisseria
31436,Neisseria
31437,Neisseria
31440,Neisseria
31441,Neisseria
31442,Neisseria
31443,Neisseria
31444,Neisseria
31445,Neisseria
31446,Neisseria
31447,Neisseria
31448,Neisseria
31449,Neisseria
31450,Neisseria
31451,Neisseria
31453,Neisseria
31455,Neisseria
31456,Neisseria
31457,Neisseria
31458,Neisseria
31459,Neisseria
31460,Neisseria
31461,Neisseria
31462,Neisseria
31463,Neisseria
31464,Neisseria
31465,Neisseria
31466,Neisseria
31467,Neisseria
31468,Neisseria
31469,Neisseria
31470,Neisseria
31471,Neisseria
31472,Neisseria
31473,Neisseria
31474,Neisseria
31475,Neisseria
31476,Neisseria
31477,Neisseria
31478,Neisseria
31479,Neisseria
31480,Neisseria
31481,Neisseria
31482,Neisseria
31483,Neisseria
31484,Neisseria
31485,Neisseria
31486,Neisseria
31487,Neisseria
31488,Neisseria
31489,Neisseria
31490,Neisseria
31491,Neisseria
31492,Neisseria
31493,Neisseria
31494,Neisseria
31495,Neisseria
31496,Neisseria
31497,Neisseria
31498,Neisseria
31499,Neisseria
31500,Neisseria
31501,Neisseria
31502,Neisseria
31503,Neisseria
31504,Neisseria
31505,Neisseria
31506,Neisseria
31507,Neisseria
31508,Neisseria
31509,Neisseria
31510,Neisseria
31511,Neisseria
31512,Neisseria
31513,Neisseria
31514,Neisseria
31515,Neisseria
31516,Neisseria
31517,Neisseria
31518,Neisseria
31519,Neisseria
31520,Neisseria
31521,Neisseria
31522,Neisseria
31523,Neisseria
31524,Neisseria
31525,Neisseria
31526,Neisseria
31527,Neisseria
31528,Neisseria
31529,Neisseria
31530,Neisseria
31531,Neisseria
31532,Neisseria
31533,Neisseria
31534,Neisseria
31535,Neisseria
31537,Neisseria
31544,Neisseria
31545,Neisseria
31546,Neisseria
31547,Neisseria
31548,Neisseria
31549,Neisseria
31550,Neisseria
31551,Neisseria
31552,Neisseria
31553,Neisseria
31554,Neisseria
31555,Neisseria
31556,Neisseria
31557,Neisseria
31558,Neisseria
31559,Neisseria
31560,Neisseria
31561,Neisseria
31562,Neisseria
31563,Neisseria
31564,Neisseria
31565,Neisseria
31566,Neisseria
31567,Neisseria
31568,Neisseria
31569,Neisseria
31570,Neisseria
31571,Neisseria
31572,Neisseria
31573,Neisseria
31574,Neisseria
31575,Neisseria
31576,Neisseria
31577,Neisseria
31578,Neisseria
31579,Neisseria
31580,Neisseria
31581,Neisseria
31582,Neisseria
31583,Neisseria
31584,Neisseria
31585,Neisseria
31586,Neisseria
31587,Neisseria
31588,Neisseria
31589,Neisseria
31590,Neisseria
31591,Neisseria
31592,Neisseria
31593,Neisseria
31594,Neisseria
31595,Neisseria
31596,Neisseria
31597,Neisseria
31598,Neisseria
31599,Neisseria
31600,Neisseria
31601,Neisseria
31602,Neisseria
31603,Neisseria
31604,Neisseria
31605,Neisseria
31608,Neisseria
31609,Neisseria
31610,Neisseria
31611,Neisseria
31612,Neisseria
31613,Neisseria
31614,Neisseria
31617,Neisseria
31618,Neisseria
31619,Neisseria
31620,Neisseria
31621,Neisseria
31622,Neisseria
31623,Neisseria
31624,Neisseria
31625,Neisseria
31626,Neisseria
31627,Neisseria
31628,Neisseria
31629,Neisseria
31630,Neisseria
31631,Neisseria
31632,Neisseria
31633,Neisseria
31634,Neisseria
31635,Neisseria
31636,Neisseria
31637,Neisseria
31638,Neisseria
31639,Neisseria
31640,Neisseria
31641,Neisseria
31642,Neisseria
31643,Neisseria
31645,Neisseria
31646,Neisseria
31647,Neisseria
31648,Neisseria
31649,Neisseria
31650,Neisseria
31651,Neisseria
31652,Neisseria
31653,Neisseria
31654,Neisseria
31655,Neisseria
31656,Neisseria
31657,Neisseria
31658,Neisseria
31659,Neisseria
31660,Neisseria
31661,Neisseria
31662,Neisseria
31663,Neisseria
31664,Neisseria
31665,Neisseria
31666,Neisseria
31667,Neisseria
31668,Neisseria
31669,Neisseria
31670,Neisseria
31671,Neisseria
31672,Neisseria
31673,Neisseria
31674,Neisseria
31675,Neisseria
31676,Neisseria
31677,Neisseria
31678,Neisseria
31685,Neisseria
31686,Neisseria
31687,Neisseria
31688,Neisseria
31689,Neisseria
31690,Neisseria
31691,Neisseria
31692,Neisseria
31693,Neisseria
31694,Neisseria
31695,Neisseria
31696,Neisseria
31697,Neisseria
31698,Neisseria
31699,Neisseria
31700,Neisseria
31701,Neisseria
31702,Neisseria
31703,Neisseria
31704,Neisseria
31705,Neisseria
31706,Neisseria
